Author Last,Author First,Title,ISBN1,ISBN2,ISBN3,Pub City,Publisher,Pub Date,HEB ID,Subject Category,URL
Leavitt, Judith Walzer,Typhoid Mary: captive to the public's health,,,,Boston,Beacon Press,1996-01-01,HEB02042.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb02042.0001.001,9780807095591
Mink, Gwendolyn,"The wages of motherhood: inequality in the welfare state, 1917-1942",,,,"Ithaca, NY",Cornell University Press,1995-01-01,HEB02052.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb02052.0001.001,9781501728860
Slaughter, Thomas P.,The Whiskey Rebellion: frontier epilogue to the American Revolution,,,,New York,Oxford University Press,1988-01-01,HEB02063.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb02063.0001.001,9780199771875
Ryan, Mary P.,"Women in public: between banners and ballots, 1825-1880",,,,Baltimore,Johns Hopkins University Press,1992-01-01,HEB02071.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb02071.0001.001,9780801844010
Yung, Judy,Unbound feet: a social history of Chinese women in San Francisco,,,,Berkeley,University of California Press,1995-01-01,HEB02043.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb02043.0001.001,9780520915350
Gilman, Charlotte Perkins,Women and economics: a study of the economic relation between men and women as a factor in social evolution,,,,"Berkeley, Calif.",University of California Press,1998-01-01,HEB02067.0001.001,Comparative/World,https://hdl.handle.net/2027/heb02067.0001.001,9780520209985
,,Women and slavery in Africa,,,,"Portsmouth, NH",Heinemann,1997-01-01,HEB02068.0001.001,African,https://hdl.handle.net/2027/heb02068.0001.001,9780435074173
,,The Uses of literacy in early medieval Europe,,,,Cambridge [England],Cambridge University Press,1990-01-01,HEB02047.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb02047.0001.001,9780521428965
O'Donnell, James Joseph,Avatars of the word: from papyrus to cyberspace,,,,"Cambridge, Mass.",Harvard University Press,1998-01-01,HEB02128.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb02128.0001.001,9780674055452
Smith, Lesley,Masters of the sacred page: manuscripts of theology in the Latin West to 1274,,,,"Notre Dame, Ind.",University of Notre Dame Press,2001-01-01,HEB02129.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb02129.0001.001,9780268042134
D'Arms, John H.,Romans on the Bay of Naples: a social and cultural study of the villas and their owners from 150 B.C. to A.D. 400,,,,Cambridge,Harvard University Press,1970-01-01,HEB02119.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb02119.0001.001,9780674779259
Orlin, Lena Cowen,Private matters and public culture in post-Reformation England,,,,Ithaca,Cornell University Press,1994-01-01,HEB02102.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb02102.0001.001,9780801428586
